dataset_id,method_id,observable_type,run_id,condition_label,value,value_sigma,units,source,notes
nature2018_li,ToS,period_T,fig2_a_8,far,433.18703,,s,source_data_fig2.xlsx/a/row9,"fiber=1, time=46.5d"
nature2018_li,ToS,period_T,fig2_a_9,near,431.48569,,s,source_data_fig2.xlsx/a/row10,"fiber=1, time=49.5d"
nature2018_li,ToS,period_T,fig2_a_9,far,433.18666,,s,source_data_fig2.xlsx/a/row10,"fiber=1, time=52.5d"
nature2018_li,ToS,period_T,fig2_a_10,near,431.48542,,s,source_data_fig2.xlsx/a/row11,"fiber=1, time=55.5d"
nature2018_li,ToS,period_T,fig2_a_10,far,433.18646,,s,source_data_fig2.xlsx/a/row11,"fiber=1, time=58.5d"
nature2018_li,ToS,period_T,fig2_b_1,near,432.78171,,s,source_data_fig2.xlsx/b/row2,"fiber=2, time=1.5d"
nature2018_li,ToS,period_T,fig2_b_1,far,432.78079,,s,source_data_fig2.xlsx/b/row2,"fiber=2, time=4.5d"
nature2018_li,ToS,period_T,fig2_b_2,near,432.78083,,s,source_data_fig2.xlsx/b/row3,"fiber=2, time=7.5d"
nature2018_li,ToS,period_T,fig2_b_2,far,432.77988,,s,source_data_fig2.xlsx/b/row3,"fiber=2, time=10.5d"
nature2018_li,ToS,period_T,fig2_b_3,near,432.77994,,s,source_data_fig2.xlsx/b/row4,"fiber=2, time=13.9d"
nature2018_li,ToS,period_T,fig2_b_3,far,432.7791,,s,source_data_fig2.xlsx/b/row4,"fiber=2, time=16.5d"
nature2018_li,ToS,period_T,fig2_b_4,near,432.77931,,s,source_data_fig2.xlsx/b/row5,"fiber=2, time=19.7d"
nature2018_li,ToS,period_T,fig2_b_4,far,432.77842,,s,source_data_fig2.xlsx/b/row5,"fiber=2, time=22.5d"
nature2018_li,ToS,period_T,fig2_b_5,near,432.7786,,s,source_data_fig2.xlsx/b/row6,"fiber=2, time=25.5d"
nature2018_li,ToS,period_T,fig2_b_5,far,432.77794,,s,source_data_fig2.xlsx/b/row6,"fiber=2, time=28.5d"
nature2018_li,ToS,period_T,fig2_b_6,near,432.77817,,s,source_data_fig2.xlsx/b/row7,"fiber=2, time=31.5d"
nature2018_li,ToS,period_T,fig2_b_6,far,432.77739,,s,source_data_fig2.xlsx/b/row7,"fiber=2, time=34.5d"
nature2018_li,ToS,period_T,fig2_b_7,near,432.77764,,s,source_data_fig2.xlsx/b/row8,"fiber=2, time=37.5d"
nature2018_li,ToS,period_T,fig2_b_7,far,432.77686,,s,source_data_fig2.xlsx/b/row8,"fiber=2, time=40.5d"
nature2018_li,ToS,period_T,fig2_b_8,near,432.77715,,s,source_data_fig2.xlsx/b/row9,"fiber=2, time=43.5d"
nature2018_li,ToS,period_T,fig2_b_8,far,432.77654,,s,source_data_fig2.xlsx/b/row9,"fiber=2, time=46.5d"
nature2018_li,ToS,period_T,fig2_b_9,near,432.77686,,s,source_data_fig2.xlsx/b/row10,"fiber=2, time=49.5d"
nature2018_li,ToS,period_T,fig2_b_9,far,432.7762,,s,source_data_fig2.xlsx/b/row10,"fiber=2, time=52.5d"
nature2018_li,ToS,period_T,fig2_b_10,near,432.77663,,s,source_data_fig2.xlsx/b/row11,"fiber=2, time=55.5d"
nature2018_li,ToS,period_T,fig2_b_10,far,432.77587,,s,source_data_fig2.xlsx/b/row11,"fiber=2, time=58.5d"
